,requestId,submissionId,status,matchDescription,name,address.addressLine1,address.city,address.state,address.zipCode,address.addressType,phone,country,headquarters,employees,estimatedEmployees,revenue,estimatedRevenue,parent.linkedInUrl,parent.domain,parent.website,parent.alternateDomains,parent.alternateNames,parent.numberOfContacts,parent.primaryIndustry,parent.primaryNAICSCode,parent.primarySICCode,parent.employees,parent.estimatedEmployees,parent.revenue,parent.estimatedRevenue,parent.yearEstablished,parent.entityType,parent.normalizedIndustry,parent.numberOfLocations,requestBody.names,requestBody.address.addressLine1,requestBody.address.zipCode,requestBody.address.city,requestBody.address.state,requestBody.otherAddresses,requestBody.standardizeAddress
0,0d907d58-9895-49f5-9f4e-6bd3a31d5ac1,heimdal_test_SMB_service-000000,Success,Default match logic,Super Smart Software,2001 Space Odyssey Rd,Kannapolis,NC,28082,Street Address,8042820237,United States,FALSE,10-Jan,6,$0.5 - 5 Million,1000000,https://www.linkedin.com/company/super-smart-software,SSSoftware.com,http://www.SSSoftware.com,['SuperSmartSoftware.com'],"['Super Smart Software', 'Super Smart', 'Super Smart LLC', 'Super Smart Software LLC']",11,insurance,,,20-Jan,20,$1 - 9.99 Million,3000000,2016,,Insurance,2,['Super Smart Software'],2001 Space Odyssey Rd,,Glenn Allen,VA,[],FALSE
1,2ac82c3d-e25f-459b-8281-24c672b74631,heimdal_test_SMB_service-000001,Success,Close name match but address unconfirmed,3rd Avenue Cafe,225 W 3rd Ave,Carlsbad,NM,88221,Street Address,5754850191,United States,TRUE,Unknown,,Unknown,,,,,[],['3rd Ave Cafe'],0,cafes,,,Unknown,,Unknown,,,,,1,"['Main Street cafe', 'Main cafe']",225 W Main St,87743,ROY,NM,[],FALSE
2,65aff9ad-d511-4f74-8e95-c31f64d70672,heimdal_test_SMB_service-000003,Success,Default match logic,Smith Bros Moving Co,54 Lost Oak Highway,Gill,MA,1301,Street Address,4138638055,United States,TRUE,21-100,68,$1 - 9.99 Million,3400000,https://www.linkedin.com/company/smith-bros-moving,SmithBrosMoving.com,http://www.SmithBrosMoving.com,['SmithBrosMoving.com'],"['Smith Bros Moving Co.', 'Smith Bros Moving', 'Smith Bros Moving Company']",3,moving services,484210,42120400,21-100,68,$1 - 9.99 Million,3400000,2004,,,1,['Smith Bros Moving Co.'],54 Lost Oak Highway,,Gill,MA,[],FALSE
3,ebd091a4-d0f7-4a5a-b9e5-91799aafac24,heimdal_test_SMB_service-000004,Success,Default match logic,Small Town Gazette,351 Parker Lane,Estes Park,CO,80517,Street Address,9704800147,United States,TRUE,Oct-50,15,$0.5 - 5 Million,3250000,https://www.linkedin.com/company/Small-Town-Gazette,SmallTownGazette.com,http://www.SmallTownGazette.com,['SmallTownGazette.com'],['Colorado Gazette'],3,newspapers,424920,27110000,21-100,30,$1 - 9.99 Million,6500000,2012,,,2,"['SmallTownGazette.com', 'Small Town Gazette']",351 Parker Lane,80517,Estes Park,CO,[],FALSE
4,cace92e8-d1c7-4cf0-a90e-c5f9ffdd8c32,heimdal_test_SMB_service-000005,Success,Default match logic,Georges Deli & Bagels, 505 W Rosewood Street,Chapel Hill,NC,27516,Street Address,9192407071,United States,TRUE,20-Jan,5,$1 - 9.99 Million,1000000,,brandweinsbagels.com,http://www.NYdelibagels.com,['georgesdelibagels.com'],['George's Bagels'],2,breakfast & brunch,,,20-Jan,5,$1 - 9.99 Million,1000000,,,,1,['NY Deli Bagels'], 505 W Rosewood Street,27516, Chapel Hill, NC,[],FALSE
5,00cda3c6-5fde-4227-bc1c-080d2fff9d2f,heimdal_test_SMB_service-000006,Success,Default match logic,Little Shop of Flowers,3225 W Maple St,Madison,WI,53714,Street Address,3192663521,United States,TRUE,20-Jan,1,Less than $1 Million,192000,,bancroftsflowers.net,http://www.littleshopofflowers.net,['littleshopofflowers.net'],"['Little Shop Flowers', 'Madison Flowers', 'Maple Street Flowers', 'Little Shop Florist & Greenhouse']",2,greenhouses,453220,1810200,20-Jan,1,Less than $1 Million,192000,1953,,,1,['Little Shop Flowers and Greenhouses'],416 W Magnolia St,50613,Cedar Falls,IA,[],FALSE
6,d6376c8f-3378-4a2c-920c-2b98b4e8aa5a,heimdal_test_SMB_service-000007,Success,Default match logic,Wobbly Wheel Tire and Alignment,730 Hillsdale St,Chapel Hill,TN,37034,Street Address,9199299444,United States,TRUE,20-Jan,15,Less than $1 Million,750000,,lloydtire.com,http://www.WobblyWheeltire.com,['WobblyWheeltire.com'],"['Wobbly Wheel Tire & Alignment', 'Wobbly Wheel Tire', 'Wobbly Wheel Tire & Alignment LLC']",2,"wheel alignment, automotive",811118,75390105,20-Jan,15,Less than $1 Million,750000,1984,,Automotive,1,"['Wobbly Wheel Tire and Alignment, LLC']",730 Hillsdale St,27514, Chapel Hill, NC,[],FALSE
7,f4586a41-ca33-4baa-b490-73895a143ba4,heimdal_test_SMB_service-000008,Success,Default match logic,Spot and Mittens Veterinary Clinic,7392 Maple St E,Wauwatosa,WI,53213,Street Address,7158664275,United States,TRUE,Jul-33,8,$0.33 - 3.33 Million,1333000,https://www.linkedin.com/company/webster-veterinary-clinic,spotandmittensveterinaryclinic.net,http://www.spotandmittensveterinaryclinic.net,"['spotandmittensveterinaryclinic.net', 'spotandmittensvet.com']","['Spot and Mittens Veterinary Clinic', 'Spot and Mittens Veterinary Practice', 'Smith Christine, DVM', 'Hardy Thomas DVM']",12,veterinarians & hospitals,541940,7420000,21-100,25,$1 - 9.99 Million,4000000,1995,,Hospitals and Clinics,3,['Spot and Mittens Veterinary Practice'],7392 Maple St E,54893, Webster, WI,[],FALSE
8,7b7d6466-a59e-49d5-a43e-197a720c543f,heimdal_test_SMB_service-000009,Success,Default match logic,Cherry on Top Cupcake,32301 Juergensen ST NW,Washington,DC,20007,Street Address,2023338448,United States,FALSE,Oct-50,15,$1 - 5 Million,2556000,https://www.linkedin.com/company/Cherry-on-top-cupcake,CherryonTopcupcake.com,http://www.CherryonTopcupcake.com,['CherryonTopcupcake.com'],"['Cherry on Top Cupcake', 'Cherry on Top Bakery', 'Cherry Cupcake Midtown', 'Cherry Cupcakes']",81,retail bakeries,311811,54610000,101-500,120,$10 - 49.99 Million,23000000,2009,,Food and Beverages,10,['Cherry on Top Cupcake'],3301 Morris St NW,20007, Washington, DC,[],FALSE
9,8a863428-eb2d-4979-9384-cc1a27accf75,heimdal_test_SMB_service-000010,Success,Default match logic,Uptown Accountants LLC,12904 Wall St Ste 100,Boston,MA,2131,Street Address,9193830441,United States,FALSE,Jul-38,9,$0.77 - 3.85 Million,1923000,https://www.linkedin.com/company/UptownAccountants,UptownAccountants.com,http://www.UptownAccountants.com,"['UptownAccts.com', 'UptownAccountantsLLC.com']","['Uptown Accountants, Pllc', 'Uptown Accountants, PLLC', 'William F. Roberts, Cpa, Pllc', 'Hutchings And Roberts, Cpas, Pa', 'Roberts William F Cpa Pllc', 'Roberts CPA Firm, PLLC']",90,certified public accountant,541211,87210101,101-500,120,$10 - 49.99 Million,25000000,1949,LLC,Financials and Banking,13,"['Uptown Accountants, PLLC']",1904 Wall St STE 420,27705, Durham, NC,[],FALSE
