,names,address.addressLine1,address.zipCode,address.city,address.state,otherAddresses,standardizeAddress
0,['Super Smart Software'],2001 Space Odyssey Rd,28082,Kannapolis,NC,[],FALSE
1,"['3rd Avenue Cafe', '3rd Cafe']",225 W 3rd Ave,88221,Carlsbad,NM,[],FALSE
2,['Smith Bros Moving Co'],54 Lost Oak Highway,1301,Gill,MA,[],FALSE
3,['Small Town Gazette'],351 Parker Lane,80517,Estes Park,CO,[],FALSE
4,['Georges Deli & Bagels'], 505 W Rosewood Street,27516, Chapel Hill, NC,[],FALSE
5,['Little Shop of Flowers'],3225 W Maple St,53714,Madison,WI,[],FALSE
6,['Wobbly Wheel Tire and Alignment'],730 Hillsdale St,37034, Chapel Hill,TN,[],FALSE
7,['Spot and Mittens Veterinary Clinic'],7392 Maple St E,53213,Wauwatosa,WI,[],FALSE
8,['Cherry on Top Cupcake'],32301 Juergensen ST NW,20007, Washington, DC,[],FALSE
9,['Uptown Accountants LLC'],12904 Wall St Ste 100,2131,Boston,MA,[],FALSE
10,['Stratford Inn Bed & Breakfast'],22525 S Main Blvd,81427, Ouray, CO,[],FALSE
